Type,Entries,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
EKONOMI/ECONOMIC,Pertanian dan pembangunan luar bandar/Agriculture and rural development,198,235,307,334,436,506,514,591,716,877,1138,1481,1550,1187,1122,1287,1144,924,1010,1140,1298,1126,1098,1276,1342,1360,1182,1105,960,1089,1183,1394,1364,1620,2881,2482,3999,3842,4184,5508,2920,1128,1906,2692,2875,3105,2902,2416
EKONOMI/ECONOMIC,Kemudahan awam1/Public utilities1,20,31,42,49,55,118,133,250,339,395,665,748,865,1027,1132,789,683,648,656,468,798,681,834,610,790,654,733,1496,1968,1850,1517,1092,1808,920,945,1481,2244,2358,2795,2899,5286,6013,5519,3332,3485,3637,2927,2582
EKONOMI/ECONOMIC,Perdagangan dan perindustrian/Trade and industry,100,260,177,180,462,223,296,417,601,348,1554,3091,1143,1291,685,557,523,622,834,948,2726,969,648,660,961,1218,1212,1285,3227,2798,3667,4830,3474,3456,1201,3221,3389,4904,4581,4916,6987,8364,5043,6244,4688,5638,4844,4927
EKONOMI/ECONOMIC,Pengangkutan/Transport,80,148,234,184,314,486,561,652,637,675,1031,1272,1970,1652,1193,1052,1408,1046,1065,1545,1845,1897,1896,2678,2158,3151,4530,3578,3062,2893,4683,5042,5401,7354,6630,7660,7751,8500,9212,9450,8665,10140,10065,8152,7270,6693,7828,10599
EKONOMI/ECONOMIC,Perhubungan/Communications,53,29,76,39,46,65,46,219,236,216,428,202,439,622,929,618,780,0,4,2,2,1,4,5,5,14,2,4,3,289,228,330,282,403,125,105,8,105,334,618,688,848,455,187,176,1,5,149
EKONOMI/ECONOMIC,Lain-lain/Others,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,15,16,16,32,10,24,36,33,43,34,33,23,51,181,37,105,40,69,8,12,407,247,3049,1574,1663,5948,4038,4843,4212,6607,5191
SOSIAL/SOCIAL,Pendidikan dan latihan/Education and training,44,86,112,142,187,212,227,274,252,339,558,791,1082,988,1009,872,1064,810,865,1242,1634,1285,1205,1117,2010,2044,2091,2521,2915,3865,7099,10363,12436,10193,4316,3736,5349,6271,7892,10827,12046,7735,7550,6438,4928,4758,3728,5904
SOSIAL/SOCIAL,Kesihatan/Health,20,23,27,34,42,57,47,44,48,59,80,118,150,156,125,112,118,53,69,218,461,572,602,425,354,388,459,449,716,835,1272,1570,1503,2681,2352,1220,1298,1496,1652,2575,3780,2207,1864,1738,1385,1442,1495,1532
SOSIAL/SOCIAL,Perumahan/Housing,11,27,15,12,33,31,29,122,294,427,295,1231,1589,556,908,972,1054,79,58,182,43,66,94,167,359,403,501,735,1030,1081,1194,1269,1808,1928,1593,1082,1347,2947,1780,1395,1333,762,524,852,618,2008,2238,870
SOSIAL/SOCIAL,Lain-lain/Others,5,8,17,12,15,28,13,12,20,137,252,316,428,297,181,137,298,89,173,305,479,503,752,511,562,678,933,1214,1122,1154,1511,2182,2296,2905,1999,1412,1531,2178,2394,2592,3625,1903,2462,1856,3559,2953,2968,3875
KESELAMATAN/SECURITY,Pertahanan/Defence,172,217,184,70,148,116,338,351,316,530,812,1381,1646,1391,872,480,218,124,195,614,738,1866,1629,1729,2166,2474,2061,1814,1017,2792,1854,2572,3385,4936,3685,4065,3530,4102,4120,2663,2666,3711,3590,4038,3751,4078,3945,4251
KESELAMATAN/SECURITY,Keselamatan dalam negeri /Internal Security ,0,0,27,40,94,113,97,119,175,183,410,458,419,335,133,149,166,209,165,232,323,345,544,529,194,414,377,500,363,330,478,715,948,1093,448,738,1273,1601,1659,1294,1304,857,820,611,581,676,887,1036
PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2,PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2,22,21,24,32,46,196,77,166,148,95,240,269,204,168,118,117,103,122,121,784,310,244,358,381,343,1210,513,1015,1697,3588,2894,3839,1167,1824,2620,3324,4076,1853,1998,1730,1917,1085,1187,2032,1344,1567,1621,2671