Type,Entries,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017 4
EKONOMI/ECONOMIC,Pertanian dan pembangunan luar bandar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKONOMI/ECONOMIC,Agriculture and rural development,53,60,70,55,161,108,170,180,249,180,393,523,763,838,771,1013,897,878,877,912,1044,1219,1291,1166,1194,1135,1436,1300,1121,1223,1323,1366,1446,1758,1647,1797,3367,2177,5027,4336,3470,4791,4392,4925,5415,4777,4286,3823
EKONOMI/ECONOMIC,Kemudahan awam/Public utilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,42,49,26,36,487,53,222,105,397,91,104,39,460,57,111,66,482,235,91,401,126,125,130,135,125,246,119,99
EKONOMI/ECONOMIC,Perdagangan dan perindustrian/Trade and industry,10,13,18,23,42,75,74,48,64,116,151,362,658,222,378,307,335,312,449,442,594,476,536,496,381,624,1468,1277,1279,1596,3761,1870,1837,2002,2264,3758,4508,2521,3623,2291,6525,7866,7486,8621,6689,6865,5466,3044
EKONOMI/ECONOMIC,Pengangkutan/Transport,46,57,49,30,95,45,53,146,94,81,81,116,297,279,335,236,276,252,281,557,591,708,1595,759,1520,996,1087,1378,1040,1155,1286,1671,2069,2442,2625,3098,5123,4925,4976,4536,4296,6582,4303,5020,5355,5518,6128,6516
EKONOMI/ECONOMIC,Perhubungan/Communications,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,18,19,22,22,47,30,36,32,38,31,34,62,36,36,62,44,54,-,60,64,58,133,81,85,77,140,93,98
EKONOMI/ECONOMIC,Lain-lain/Others,6,10,15,31,15,38,40,55,54,48,100,90,71,83,112,110,70,68,78,19,4,9,28,33,31,31,36,33,211,117,130,142,166,172,192,1,7,82,48,52,53,58,59,63,1650,2611,2769,2909
SOSIAL/SOCIAL,Pendidikan dan latihan/Education and training,477,536,798,805,1051,1158,1261,1750,1791,1918,2228,2726,2991,2915,3183,3473,3743,3839,4115,4407,4962,5782,6854,7361,8098,8559,10398,10360,10528,11458,12923,14422,16982,19034,21517,23058,25589,30443,36528,39318,37821,41741,47040,47973,51699,52059,51887,52890
SOSIAL/SOCIAL,Kesihatan/Health,155,211,234,257,313,361,387,532,563,607,697,855,916,836,931,1007,1098,1073,1139,1236,1316,1463,1812,1982,2175,2384,3015,3278,3331,3626,4131,4680,5151,6294,7009,7503,8693,9772,11594,12193,12719,14929,16808,17682,20735,21924,21632,23700
SOSIAL/SOCIAL,Perumahan/Housing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,62,61,81,52,128,80,201,121,88,87,92,397,136,177,893,253,311,931,980,1222,1115,1626,1658,2006,771,717,654,722
SOSIAL/SOCIAL,Lain-lain/Others,118,83,120,114,159,218,245,248,335,327,358,506,591,565,664,514,561,536,599,720,956,695,861,986,1140,1118,1210,1292,1116,1441,1638,2257,2529,3202,2969,3431,4029,4802,5480,5505,6110,6422,6901,6830,8358,8767,7716,8664
KESELAMATAN/ SECURITY,Pertahanan/Defence,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2147,2305,2457,2871,3222,3399,3647,4030,4063,3528,3529,3972,4779,5119,6014,7043,7752,8451,9547,10597,11311,9749,11079,11156,12209,13079,13398,10843,11684
KESELAMATAN/ SECURITY,Keselamatan dalam negeri/Internal security,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1393,1502,1613,1925,1908,2099,2357,2592,2544,2369,2578,2987,3531,3910,4393,5147,5333,6111,6587,7913,8271,8934,9862,11524,11812,12873,13785,13108,12932
PENTADBIRAN AM1/GENERAL ADMINISTRATION1,PENTADBIRAN AM1/GENERAL ADMINISTRATION1,270,239,272,410,436,479,538,743,588,717,1164,1445,697,1513,1638,2036,2416,2186,2179,2876,2308,3005,3528,3766,3862,5216,5187,5927,5617,5490,8401,8635,8275,8453,12667,7865,8326,11534,12450,27123,15342,16480,19092,17846,16240,16712,15755,11288
LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2,LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2,533,609,718,713,943,1104,1541,1879,1962,2062,2953,4209,5862,5883,6169,6791,7266,7800,8154,8153,9322,10740,10645,10428,10503,10343,12947,12955,16102,14276,15767,19906,20581,21190,27152,33785,32644,39530,54132,40443,45316,60900,74909,76065,76523,69479,69717,76432