"Type","Entries","Year","Value"
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1998",623
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1998",3868
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1998",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1998",3586
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1998",3845
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1998",1447
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1998",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1998",1952
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1998",3100
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1998",1102
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1998",1771
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1998",0
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1998",4910
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1998",359
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1998",132
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1998",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1999",15742
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1999",6419
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1999",2856
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1999",142
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1999",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1999",1566
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1999",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1999",521
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1999",670
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1999",4720
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1999",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1999",4723
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1999",4488
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1999",1459
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1999",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1999",2040
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1999",4100
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1999",974
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1999",1819
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1999",1000
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1999",4781
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1999",490
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1999",165
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1999",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","2000",13905
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","2000",7015
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","2000",6010
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","2000",87
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","2000",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","2000",1799
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","2000",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","2000",340
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","2000",1032
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","2000",3599
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","2000",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","2000",3803
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","2000",5968
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","2000",1701
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","2000",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","2000",1914
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","2000",4100
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","2000",1763
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","2000",1909
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","2000",1000
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","2000",5321
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","2000",390
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","2000",208
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","2000",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","2001",20771
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","2001",9436
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","2001",9859
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","2001",71
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","2001",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","2001",1649
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","2001",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","2001",312
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","2001",867
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","2001",3193
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","2001",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","2001",4129
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","2001",7356
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","2001",1926
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","2001",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","2001",1922
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","2001",5910
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","2001",2000
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","2001",2064
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","2001",1000
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","2001",6330
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","2001",589
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","2001",183
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","2001",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","2002",24642
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","2002",9889
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","2002",7636
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","2002",69
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","2002",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","2002",1733
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","2002",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","2002",382
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","2002",804
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","2002",3669
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","2002",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","2002",4745
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","2002",9242
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","2002",2214
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","2002",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","2002",1835
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","2002",5390
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","2002",1600
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","2002",2523
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","2002",500
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","2002",5746
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","2002",686
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","2002",210
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","2002",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","2003",23990
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","2003",7984
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","2003",8466
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","2003",62
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","2003",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","2003",2008
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","2003",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","2003",506
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","2003",1156
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","2003",3919
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","2003",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","2003",5031
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","2003",7965
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","2003",2038
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","2003",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","2003",1766
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","2003",5100
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","2003",2142
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","2003",2588
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","2003",500
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","2003",12800
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","2003",4356
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","2003",230
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","2003",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","2004",24388
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","2004",8977
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","2004",11479
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","2004",1275
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","2004",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","2004",2381
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","2004",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","2004",202
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","2004",1599
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","2004",3874
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","2004",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","2004",6828
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","2004",6816
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","2004",2350
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","2004",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","2004",1880
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","2004",9100
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","2004",2497
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","2004",2243
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","2004",1006
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","2004",11665
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","2004",573
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","2004",263
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","2004",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","2005",26381
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","2005",8649
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","2005",14566
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","2005",1193
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","2005",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","2005",2460
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","2005",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","2005",295
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","2005",2086
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","2005",3385
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","2005",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","2005",9321
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","2005",7709
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","2005",2582
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","2005",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","2005",1968
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","2005",11000
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","2005",3293
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","2005",2619
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","2005",1200
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","2005",6941
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","2005",396
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","2005",261
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","2005",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","2006",26477
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","2006",10196
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","2006",20674
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","2006",1428
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","2006",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","2006",2522
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","2006",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","2006",276
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","2006",2361
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","2006",2679
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","2006",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","2006",8576
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","2006",6532
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","2006",2685
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","2006",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","2006",2225
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","2006",18000
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","2006",4240
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","2006",2237
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","2006",1200
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","2006",10328
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","2006",635
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","2006",276
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","2006",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","2007",32149
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","2007",11661
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","2007",20453
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","2007",1395
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","2007",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","2007",3404
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","2007",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","2007",334
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","2007",2322
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","2007",2424
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","2007",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","2007",8991
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","2007",6642
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","2007",3013
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","2007",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","2007",2380
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","2007",24000
